pub_rep,researcher,title_paper,listed_species,year,listed_sp_stage,prey_diet_item,prey_diet_binomial,prey_sp_stage,method,prey_ecosystem,prey_phylum,prey_class,prey_functional_group,prey_provenance,method_simple_1,method_simple_2
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,common pill-bug,Armadillidium vulgare,larva,isotopes,terrestrial,invertebrate,malacostraca,detritivore,introduced,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,nightcrawler,Lumbricus terrestris,larva,isotopes,terrestrial,invertebrate,clitellata,detritivore,introduced,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,housefly,Musca domestica,larva,isotopes,terrestrial,invertebrate,insecta,decomposer,introduced,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,new zealand mudsnail,Potamopyrgus antipodarum,larva,isotopes,aquatic,invertebrate,gastropoda,herbivore,introduced,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,western pine spittlebug,Aphrophora permutata,larva,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,common water strider,Aquarius remigis,larva,isotopes,aquatic,invertebrate,insecta,insectivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,camel cricket,Ceuthophilus californianus,larva,isotopes,terrestrial,invertebrate,insecta,omnivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,tiger beetle,Cicindela willistoni,larva,isotopes,terrestrial,invertebrate,insecta,insectivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,diplazon parasitoid wasp,Diplazon laetatorius,larva,isotopes,terrestrial,invertebrate,insecta,invertivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,leafhopper,Hebata filamenta,larva,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,southern shoulderband,Helminthoglypta tudiculata,larva,isotopes,terrestrial,invertebrate,gastropoda,herbivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,convergent lady beetle,Hippodamia convergens,larva,isotopes,terrestrial,invertebrate,insecta,insectivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,giant western crane fly,Holorusia hespera,larva,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,kirby's backswimmer,Notonecta kirbyi,larva,isotopes,aquatic,invertebrate,insecta,carnivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,northern pacific tree frog,Pseudacris regilla,larva,isotopes,terrestrial,vertebrate,reptilia,insectivore,native,isotopes,none
